symbol,sector,strategy,strategy_name,sharpe,sortino,total_return,max_drawdown,win_rate,trades,profit_factor,period
MARICO,FMCG,VWAP,VWAP Mean Reversion,0.08566094982982553,0.08371770508479599,0.002069191347856325,0.1497274506063332,0.5573770491803278,122,1.0201192469858709,1Y
MARICO,FMCG,MOMENTUM,Momentum Rotation,-1.4979443930090646,-0.756586015185021,-0.07807097533589968,0.09578388672180527,0.3125,16,0.39801836873656704,1Y
MARICO,FMCG,BB_SQUEEZE,Bollinger Squeeze,-1.4979443930090646,-0.756586015185021,-0.07807097533589968,0.09578388672180527,0.3125,16,0.39801836873656704,1Y
MARICO,FMCG,RSI_DIV,RSI Divergence,-1.4979443930090646,-0.756586015185021,-0.07807097533589968,0.09578388672180527,0.3125,16,0.39801836873656704,1Y
MARICO,FMCG,ATR_BREAKOUT,ATR Breakout,-1.4979443930090646,-0.756586015185021,-0.07807097533589968,0.09578388672180527,0.3125,16,0.39801836873656704,1Y
MARUTI,AUTO,BREAKOUT,Swing Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
MARUTI,AUTO,EMA_CROSS,EMA Crossover,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
MARUTI,AUTO,ORB,Opening Range Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
MARUTI,AUTO,VWAP,VWAP Mean Reversion,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
MARUTI,AUTO,MOMENTUM,Momentum Rotation,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
MARUTI,AUTO,BB_SQUEEZE,Bollinger Squeeze,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
MARUTI,AUTO,RSI_DIV,RSI Divergence,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
MARUTI,AUTO,ATR_BREAKOUT,ATR Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
TATAMOTORS,AUTO,BREAKOUT,Swing Breakout,-0.5646585226034788,-0.20138464332005823,-0.021356747733493275,0.04801062087955078,0.42857142857142855,7,0.6116765336483846,1Y
TATAMOTORS,AUTO,EMA_CROSS,EMA Crossover,-1.479160771994604,-1.4061512800554599,-0.22225865096608421,0.2553856559794937,0.4074074074074074,81,0.6504533290112147,1Y
TATAMOTORS,AUTO,ORB,Opening Range Breakout,-0.8683742092119137,-0.6214808224026619,-0.13704123229468124,0.27161952265327294,0.4,70,0.7473984942306876,1Y
TATAMOTORS,AUTO,VWAP,VWAP Mean Reversion,-0.8189285258609067,-0.5594268347359431,-0.4052734205090006,0.49762705979678296,0.4971751412429379,177,0.7490630454901556,1Y
TATAMOTORS,AUTO,MOMENTUM,Momentum Rotation,-0.5646585226034788,-0.20138464332005823,-0.021356747733493275,0.04801062087955078,0.42857142857142855,7,0.6116765336483846,1Y
TATAMOTORS,AUTO,BB_SQUEEZE,Bollinger Squeeze,-0.5646585226034788,-0.20138464332005823,-0.021356747733493275,0.04801062087955078,0.42857142857142855,7,0.6116765336483846,1Y
TATAMOTORS,AUTO,RSI_DIV,RSI Divergence,-0.5646585226034788,-0.20138464332005823,-0.021356747733493275,0.04801062087955078,0.42857142857142855,7,0.6116765336483846,1Y
TATAMOTORS,AUTO,ATR_BREAKOUT,ATR Breakout,-0.5646585226034788,-0.20138464332005823,-0.021356747733493275,0.04801062087955078,0.42857142857142855,7,0.6116765336483846,1Y
